Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
31-Dec-2013,Southern,Gastroenterology,Acute Services,3,0,0,1,--,0,0,--,--,--,4,
31-Dec-2013,Southern,Cardiology,Acute Services,0,0,0,1,--,0,1,--,--,--,2,
31-Dec-2013,Southern,Rheumatology,Acute Services,0,0,2,0,--,0,0,--,--,--,2,
31-Dec-2013,Southern,Gynaecology,Acute Services,127,127,70,4,--,0,0,--,--,--,328,
31-Dec-2013,Western,General Surgery,Acute Services,118,126,119,56,--,34,86,--,--,--,539,
31-Dec-2013,Western,Urology,Acute Services,45,22,3,1,--,0,0,--,--,--,71,
31-Dec-2013,Western,T & O Surgery,Acute Services,162,198,176,67,--,74,257,--,--,--,934,
31-Dec-2013,Western,ENT,Acute Services,167,187,121,61,--,32,18,--,--,--,586,
31-Dec-2013,Western,Ophthalmology,Acute Services,2,8,0,0,--,0,0,--,--,--,10,
31-Dec-2013,Western,Oral Surgery,Acute Services,12,21,5,1,--,1,1,--,--,--,41,
31-Dec-2013,Western,General Medicine,Acute Services,4,0,1,0,--,0,0,--,--,--,5,
31-Dec-2013,Western,Cardiology,Acute Services,13,4,0,0,--,0,0,--,--,--,17,
31-Dec-2013,Western,Gynaecology,Acute Services,91,108,52,23,--,13,20,--,--,--,307,
31-Mar-2014,Belfast,General Surgery,Acute Services,198,176,127,72,--,37,136,--,--,--,746,
31-Mar-2014,Belfast,Urology,Acute Services,122,72,84,31,--,30,179,--,--,--,518,
31-Mar-2014,Belfast,T & O Surgery,Acute Services,"1,200","1,961","1,934","1,110",--,258,401,--,--,--,"6,864",
31-Mar-2014,Belfast,ENT,Acute Services,251,189,233,116,--,91,166,--,--,--,"1,046",
31-Mar-2014,Belfast,Ophthalmology,Acute Services,51,32,35,17,--,2,0,--,--,--,137,
31-Mar-2014,Belfast,Oral Surgery,Acute Services,3,5,14,0,--,0,0,--,--,--,22,
31-Mar-2014,Belfast,Restorative Dentistry,Acute Services,3,0,3,0,--,0,0,--,--,--,6,
31-Mar-2014,Belfast,Paediatric Dentistry,Acute Services,1,0,0,0,--,0,0,--,--,--,1,
31-Mar-2014,Belfast,Neurosurgery,Acute Services,40,49,32,20,--,7,9,--,--,--,157,
31-Mar-2014,Belfast,Plastic Surgery,Acute Services,48,34,28,16,--,27,48,--,--,--,201,
31-Mar-2014,Belfast,Cardiac Surgery,Acute Services,137,112,85,22,--,3,3,--,--,--,362,
31-Mar-2014,Belfast,Paediatric Surgery,Acute Services,13,7,14,7,--,5,5,--,--,--,51,
31-Mar-2014,Belfast,Thoracic Surgery,Acute Services,35,16,23,1,--,0,0,--,--,--,75,
31-Mar-2014,Belfast,Pain Management,Acute Services,0,0,0,1,--,0,0,--,--,--,1,
31-Mar-2014,Belfast,General Medicine,Acute Services,1,1,0,0,--,0,0,--,--,--,2,
31-Mar-2014,Belfast,Gastroenterology,Acute Services,15,2,0,0,--,0,0,--,--,--,17,
31-Mar-2014,Belfast,Endocrinology,Acute Services,14,12,0,0,--,0,0,--,--,--,26,
31-Mar-2014,Belfast,Rehabilitation,Acute Services,0,0,0,0,--,0,1,--,--,--,1,
31-Mar-2014,Belfast,Cardiology,Acute Services,113,73,45,36,--,13,60,--,--,--,340,
31-Mar-2014,Belfast,Dermatology,Acute Services,0,2,1,4,--,0,0,--,--,--,7,
31-Mar-2014,Belfast,Thoracic Medicine,Acute Services,5,4,3,0,--,0,0,--,--,--,12,
31-Mar-2014,Belfast,Nephrology,Acute Services,13,9,0,0,--,0,0,--,--,--,22,
31-Mar-2014,Belfast,Neurology,Acute Services,31,19,1,0,--,0,1,--,--,--,52,
31-Mar-2014,Belfast,Rheumatology,Acute Services,9,11,3,8,--,4,5,--,--,--,40,
31-Mar-2014,Belfast,Paediatrics,Acute Services,2,2,1,0,--,0,4,--,--,--,9,
31-Mar-2014,Belfast,Gynaecology,Acute Services,139,126,121,90,--,40,85,--,--,--,601,
31-Mar-2014,Belfast,Child & Adolescent Psychiatry,Mental Health,2,1,0,0,--,0,0,--,--,--,3,
31-Mar-2014,Belfast,Radiology,Acute Services,1,0,0,0,--,0,0,--,--,--,1,
31-Mar-2014,Northern,General Surgery,Acute Services,118,93,59,28,--,0,0,--,--,--,298,
31-Mar-2014,Northern,Urology,Acute Services,26,14,30,12,--,24,63,--,--,--,169,
31-Mar-2014,Northern,ENT,Acute Services,87,71,26,3,--,0,0,--,--,--,187,
31-Mar-2014,Northern,Ophthalmology,Acute Services,0,1,0,0,--,0,0,--,--,--,1,
31-Mar-2014,Northern,Gastroenterology,Acute Services,11,0,0,0,--,0,0,--,--,--,11,
31-Mar-2014,Northern,Gynaecology,Acute Services,98,133,78,43,--,2,3,--,--,--,357,
31-Mar-2014,South Eastern,General Surgery,Acute Services,114,73,69,36,--,12,7,--,--,--,311,
31-Mar-2014,South Eastern,Urology,Acute Services,56,46,33,14,--,12,18,--,--,--,179,
31-Mar-2014,South Eastern,T & O Surgery,Acute Services,10,3,0,0,--,0,0,--,--,--,13,
31-Mar-2014,South Eastern,ENT,Acute Services,12,6,0,0,--,0,0,--,--,--,18,
31-Mar-2014,South Eastern,Oral Surgery,Acute Services,13,10,16,2,--,2,0,--,--,--,43,
31-Mar-2014,South Eastern,Plastic Surgery,Acute Services,39,48,18,7,--,3,4,--,--,--,119,
31-Mar-2014,South Eastern,General Medicine,Acute Services,0,2,0,0,--,0,0,--,--,--,2,
31-Mar-2014,South Eastern,Cardiology,Acute Services,1,0,0,0,--,0,0,--,--,--,1,
31-Mar-2014,South Eastern,Gynaecology,Acute Services,115,80,49,30,--,2,3,--,--,--,279,
31-Mar-2014,Southern,General Surgery,Acute Services,117,98,48,21,--,0,0,--,--,--,284,
31-Mar-2014,Southern,Urology,Acute Services,85,86,54,39,--,18,127,--,--,--,409,
31-Mar-2014,Southern,T & O Surgery,Acute Services,93,112,115,47,--,0,0,--,--,--,367,
31-Mar-2014,Southern,ENT,Acute Services,113,105,59,0,--,0,0,--,--,--,277,
31-Mar-2014,Southern,Gastroenterology,Acute Services,1,2,0,0,--,0,0,--,--,--,3,
31-Mar-2014,Southern,Thoracic Medicine,Acute Services,1,0,0,0,--,0,0,--,--,--,1,
31-Mar-2014,Southern,Rheumatology,Acute Services,0,2,0,0,--,0,0,--,--,--,2,
31-Mar-2014,Southern,Gynaecology,Acute Services,118,103,88,5,--,0,0,--,--,--,314,
31-Mar-2014,Western,General Surgery,Acute Services,132,132,103,59,--,33,25,--,--,--,484,
31-Mar-2014,Western,Urology,Acute Services,44,10,0,0,--,0,0,--,--,--,54,
31-Mar-2014,Western,T & O Surgery,Acute Services,151,246,170,110,--,27,169,--,--,--,873,
31-Mar-2014,Western,ENT,Acute Services,164,152,126,53,--,0,0,--,--,--,495,
31-Mar-2014,Western,Ophthalmology,Acute Services,0,2,0,0,--,0,0,--,--,--,2,
31-Mar-2014,Western,Oral Surgery,Acute Services,11,12,6,5,--,0,0,--,--,--,34,
31-Mar-2014,Western,General Medicine,Acute Services,4,0,0,0,--,0,0,--,--,--,4,
31-Mar-2014,Western,Cardiology,Acute Services,20,13,0,0,--,0,0,--,--,--,33,
31-Mar-2014,Western,Gynaecology,Acute Services,76,86,84,22,--,0,0,--,--,--,268,
30-Jun-2014,Belfast,General Surgery,Acute Services,236,120,124,73,183,--,--,--,--,--,736,
30-Jun-2014,Belfast,Urology,Acute Services,115,69,52,29,225,--,--,--,--,--,490,
30-Jun-2014,Belfast,T & O Surgery,Acute Services,"1,219","2,283","2,062",798,596,--,--,--,--,--,"6,958",
30-Jun-2014,Belfast,ENT,Acute Services,125,143,276,96,402,--,--,--,--,--,"1,042",
30-Jun-2014,Belfast,Ophthalmology,Acute Services,38,31,35,13,19,--,--,--,--,--,136,
30-Jun-2014,Belfast,Oral Surgery,Acute Services,2,4,1,0,0,--,--,--,--,--,7,
30-Jun-2014,Belfast,Restorative Dentistry,Acute Services,0,2,1,0,0,--,--,--,--,--,3,
30-Jun-2014,Belfast,Paediatric Dentistry,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2014,Belfast,Neurosurgery,Acute Services,56,28,13,8,25,--,--,--,--,--,130,
30-Jun-2014,Belfast,Plastic Surgery,Acute Services,31,38,41,33,71,--,--,--,--,--,214,
30-Jun-2014,Belfast,Cardiac Surgery,Acute Services,122,103,121,46,24,--,--,--,--,--,416,
30-Jun-2014,Belfast,Paediatric Surgery,Acute Services,14,12,13,8,9,--,--,--,--,--,56,
30-Jun-2014,Belfast,Thoracic Surgery,Acute Services,42,11,7,4,2,--,--,--,--,--,66,
30-Jun-2014,Belfast,Pain Management,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2014,Belfast,Gastroenterology,Acute Services,18,5,0,0,0,--,--,--,--,--,23,
30-Jun-2014,Belfast,Endocrinology,Acute Services,5,2,9,2,0,--,--,--,--,--,18,
30-Jun-2014,Belfast,Cardiology,Acute Services,139,116,45,27,55,--,--,--,--,--,382,
30-Jun-2014,Belfast,Dermatology,Acute Services,1,1,1,1,5,--,--,--,--,--,9,
30-Jun-2014,Belfast,Thoracic Medicine,Acute Services,15,13,2,0,0,--,--,--,--,--,30,
30-Jun-2014,Belfast,Nephrology,Acute Services,19,4,0,0,0,--,--,--,--,--,23,
30-Jun-2014,Belfast,Neurology,Acute Services,48,1,0,0,0,--,--,--,--,--,49,
30-Jun-2014,Belfast,Rheumatology,Acute Services,14,3,1,0,2,--,--,--,--,--,20,
30-Jun-2014,Belfast,Paediatrics,Acute Services,4,8,1,0,4,--,--,--,--,--,17,
30-Jun-2014,Belfast,Gynaecology,Acute Services,104,126,127,63,163,--,--,--,--,--,583,
30-Jun-2014,Belfast,Mental Illness,Mental Health,1,1,0,0,0,--,--,--,--,--,2,
30-Jun-2014,Belfast,Child & Adolescent Psychiatry,Mental Health,1,2,0,0,0,--,--,--,--,--,3,
30-Jun-2014,Belfast,Radiology,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
30-Jun-2014,Northern,General Surgery,Acute Services,148,101,51,27,15,--,--,--,--,--,342,
30-Jun-2014,Northern,Urology,Acute Services,44,39,14,8,54,--,--,--,--,--,159,
30-Jun-2014,Northern,ENT,Acute Services,126,97,29,1,5,--,--,--,--,--,258,
30-Jun-2014,Northern,Pain Management,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Jun-2014,Northern,Gastroenterology,Acute Services,7,0,0,0,0,--,--,--,--,--,7,
30-Jun-2014,Northern,Gynaecology,Acute Services,148,106,75,32,30,--,--,--,--,--,391,
30-Jun-2014,South Eastern,General Surgery,Acute Services,113,59,63,17,17,--,--,--,--,--,269,
30-Jun-2014,South Eastern,Urology,Acute Services,52,39,28,23,60,--,--,--,--,--,202,
30-Jun-2014,South Eastern,T & O Surgery,Acute Services,13,3,1,0,0,--,--,--,--,--,17,
30-Jun-2014,South Eastern,ENT,Acute Services,17,14,0,0,0,--,--,--,--,--,31,
30-Jun-2014,South Eastern,Oral Surgery,Acute Services,21,7,8,4,5,--,--,--,--,--,45,
30-Jun-2014,South Eastern,Plastic Surgery,Acute Services,48,32,25,12,45,--,--,--,--,--,162,
30-Jun-2014,South Eastern,General Medicine,Acute Services,3,0,0,2,0,--,--,--,--,--,5,
30-Jun-2014,South Eastern,Gynaecology,Acute Services,106,95,105,20,22,--,--,--,--,--,348,
30-Jun-2014,Southern,General Surgery,Acute Services,134,74,50,19,16,--,--,--,--,--,293,
30-Jun-2014,Southern,Urology,Acute Services,83,73,66,36,193,--,--,--,--,--,451,
30-Jun-2014,Southern,T & O Surgery,Acute Services,105,103,121,45,40,--,--,--,--,--,414,
30-Jun-2014,Southern,ENT,Acute Services,86,98,41,1,0,--,--,--,--,--,226,
30-Jun-2014,Southern,Gastroenterology,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Jun-2014,Southern,Cardiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2014,Southern,Rheumatology,Acute Services,1,2,0,0,0,--,--,--,--,--,3,
30-Jun-2014,Southern,Gynaecology,Acute Services,139,123,61,10,1,--,--,--,--,--,334,
30-Jun-2014,Western,General Surgery,Acute Services,109,127,145,55,107,--,--,--,--,--,543,
30-Jun-2014,Western,Urology,Acute Services,46,19,0,0,0,--,--,--,--,--,65,
30-Jun-2014,Western,T & O Surgery,Acute Services,165,197,196,112,252,--,--,--,--,--,922,
30-Jun-2014,Western,ENT,Acute Services,207,119,117,29,33,--,--,--,--,--,505,
30-Jun-2014,Western,Ophthalmology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2014,Western,Oral Surgery,Acute Services,20,5,8,1,3,--,--,--,--,--,37,
30-Jun-2014,Western,General Medicine,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2014,Western,Cardiology,Acute Services,25,13,0,0,0,--,--,--,--,--,38,
30-Jun-2014,Western,Gynaecology,Acute Services,110,87,54,19,1,--,--,--,--,--,271, 
30-Sep-2014,Belfast,Cardiac Surgery,Acute Services,119,82,117,45,51,--,--,--,--,--,414,
30-Sep-2014,Belfast,Cardiology,Acute Services,96,79,65,26,64,--,--,--,--,--,330,
30-Sep-2014,Belfast,Dermatology,Acute Services,8,1,2,0,7,--,--,--,--,--,18,
30-Sep-2014,Belfast,Endocrinology,Acute Services,7,5,2,1,6,--,--,--,--,--,21,
30-Sep-2014,Belfast,ENT,Acute Services,113,183,168,80,350,--,--,--,--,--,894,
30-Sep-2014,Belfast,Forensic Psychiatry,Mental Health,1,2,0,0,0,--,--,--,--,--,3,
30-Sep-2014,Belfast,Gastroenterology,Acute Services,22,2,4,0,0,--,--,--,--,--,28,
30-Sep-2014,Belfast,General Surgery,Acute Services,241,130,144,58,221,--,--,--,--,--,794,
30-Sep-2014,Belfast,Gynaecology,Acute Services,119,87,122,83,178,--,--,--,--,--,589,
30-Sep-2014,Belfast,Nephrology,Acute Services,32,3,0,2,0,--,--,--,--,--,37,
30-Sep-2014,Belfast,Neurology,Acute Services,37,10,0,0,0,--,--,--,--,--,47,
30-Sep-2014,Belfast,Neurosurgery,Acute Services,50,22,16,6,14,--,--,--,--,--,108,
30-Sep-2014,Belfast,Ophthalmology,Acute Services,38,44,29,8,30,--,--,--,--,--,149,
30-Sep-2014,Belfast,Oral Surgery,Acute Services,2,0,1,2,1,--,--,--,--,--,6,
30-Sep-2014,Belfast,Paediatric Surgery,Acute Services,7,4,9,1,13,--,--,--,--,--,34,
30-Sep-2014,Belfast,Paediatrics,Acute Services,6,1,3,1,0,--,--,--,--,--,11,
30-Sep-2014,Belfast,Pain Management,Acute Services,1,0,1,0,0,--,--,--,--,--,2,
30-Sep-2014,Belfast,Plastic Surgery,Acute Services,26,29,43,20,91,--,--,--,--,--,209,
30-Sep-2014,Belfast,Radiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2014,Belfast,Restorative Dentistry,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
30-Sep-2014,Belfast,Rheumatology,Acute Services,9,11,5,4,4,--,--,--,--,--,33,
30-Sep-2014,Belfast,T & O Surgery,Acute Services,719,1898,2284,983,872,--,--,--,--,--,6756,
30-Sep-2014,Belfast,Thoracic Medicine,Acute Services,7,6,18,5,0,--,--,--,--,--,36,
30-Sep-2014,Belfast,Thoracic Surgery,Acute Services,36,15,16,5,7,--,--,--,--,--,79,
30-Sep-2014,Belfast,Urology,Acute Services,104,68,55,24,238,--,--,--,--,--,489,
30-Sep-2014,Northern,Cardiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2014,Northern,ENT,Acute Services,114,88,36,4,0,--,--,--,--,--,242,
30-Sep-2014,Northern,Gastroenterology,Acute Services,4,1,0,0,0,--,--,--,--,--,5,
30-Sep-2014,Northern,General Surgery,Acute Services,142,79,80,44,43,--,--,--,--,--,388,
30-Sep-2014,Northern,GP Other,Acute Services,1,1,0,0,0,--,--,--,--,--,2,
30-Sep-2014,Northern,Gynaecology,Acute Services,97,86,107,29,23,--,--,--,--,--,342,
30-Sep-2014,Northern,Urology,Acute Services,78,38,22,10,6,--,--,--,--,--,154,
30-Sep-2014,South Eastern,Cardiology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Sep-2014,South Eastern,ENT,Acute Services,2,11,4,0,0,--,--,--,--,--,17,
30-Sep-2014,South Eastern,General Medicine,Acute Services,3,1,1,0,2,--,--,--,--,--,7,
30-Sep-2014,South Eastern,General Surgery,Acute Services,87,62,56,11,37,--,--,--,--,--,253,
30-Sep-2014,South Eastern,Gynaecology,Acute Services,113,79,89,26,16,--,--,--,--,--,323,
30-Sep-2014,South Eastern,Ophthalmology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Sep-2014,South Eastern,Oral Surgery,Acute Services,21,17,14,2,6,--,--,--,--,--,60,
30-Sep-2014,South Eastern,Plastic Surgery,Acute Services,37,34,38,13,25,--,--,--,--,--,147,
30-Sep-2014,South Eastern,T & O Surgery,Acute Services,9,2,2,0,0,--,--,--,--,--,13,
30-Sep-2014,South Eastern,Urology,Acute Services,41,31,25,11,83,--,--,--,--,--,191,
30-Sep-2014,Southern,ENT,Acute Services,79,57,22,0,1,--,--,--,--,--,159,
30-Sep-2014,Southern,Gastroenterology,Acute Services,1,1,0,1,0,--,--,--,--,--,3,
30-Sep-2014,Southern,General Surgery,Acute Services,186,91,65,18,3,--,--,--,--,--,363,
30-Sep-2014,Southern,Gynaecology,Acute Services,111,114,94,34,10,--,--,--,--,--,363,
30-Sep-2014,Southern,T & O Surgery,Acute Services,107,64,115,46,129,--,--,--,--,--,461,
30-Sep-2014,Southern,Urology,Acute Services,72,73,60,39,221,--,--,--,--,--,465,
30-Sep-2014,Western,Cardiology,Acute Services,11,25,0,0,0,--,--,--,--,--,36,
30-Sep-2014,Western,ENT,Acute Services,179,88,155,28,49,--,--,--,--,--,499,
30-Sep-2014,Western,General Medicine,Acute Services,4,2,0,0,0,--,--,--,--,--,6,
30-Sep-2014,Western,General Surgery,Acute Services,99,99,119,64,56,--,--,--,--,--,437,
30-Sep-2014,Western,Gynaecology,Acute Services,103,85,77,24,7,--,--,--,--,--,296,
30-Sep-2014,Western,Oral Surgery,Acute Services,14,22,4,0,1,--,--,--,--,--,41,
30-Sep-2014,Western,T & O Surgery,Acute Services,151,204,213,100,298,--,--,--,--,--,966,
30-Sep-2014,Western,Urology,Acute Services,49,9,0,0,0,--,--,--,--,--,58,
31-Dec-2014,Belfast,General Surgery,Acute Services,152,151,153,54,287,--,--,--,--,--,797,
31-Dec-2014,Belfast,Urology,Acute Services,114,49,40,27,260,--,--,--,--,--,490,
31-Dec-2014,Belfast,T & O Surgery,Acute Services,582,"1,720","1,706","1,040","1,771",--,--,--,--,--,"6,819",
31-Dec-2014,Belfast,ENT,Acute Services,76,119,136,95,348,--,--,--,--,--,774,
31-Dec-2014,Belfast,Ophthalmology,Acute Services,45,29,22,12,25,--,--,--,--,--,133,
31-Dec-2014,Belfast,Oral Surgery,Acute Services,3,0,0,0,0,--,--,--,--,--,3,
31-Dec-2014,Belfast,Neurosurgery,Acute Services,62,34,10,0,9,--,--,--,--,--,115,
31-Dec-2014,Belfast,Plastic Surgery,Acute Services,32,37,42,21,126,--,--,--,--,--,258,
31-Dec-2014,Belfast,Cardiac Surgery,Acute Services,114,102,108,43,99,--,--,--,--,--,466,
31-Dec-2014,Belfast,Paediatric Surgery,Acute Services,15,9,17,5,15,--,--,--,--,--,61,
31-Dec-2014,Belfast,Thoracic Surgery,Acute Services,43,7,10,3,14,--,--,--,--,--,77,
31-Dec-2014,Belfast,Pain Management,Acute Services,0,1,2,0,2,--,--,--,--,--,5,
31-Dec-2014,Belfast,Gastroenterology,Acute Services,22,1,1,2,1,--,--,--,--,--,27,
31-Dec-2014,Belfast,Endocrinology,Acute Services,1,5,0,1,1,--,--,--,--,--,8,
31-Dec-2014,Belfast,Cardiology,Acute Services,104,81,56,15,78,--,--,--,--,--,334,
31-Dec-2014,Belfast,Dermatology,Acute Services,0,1,2,0,0,--,--,--,--,--,3,
31-Dec-2014,Belfast,Thoracic Medicine,Acute Services,4,7,8,3,10,--,--,--,--,--,32,
31-Dec-2014,Belfast,Nephrology,Acute Services,11,1,4,0,0,--,--,--,--,--,16,
31-Dec-2014,Belfast,Neurology,Acute Services,38,23,1,0,0,--,--,--,--,--,62,
31-Dec-2014,Belfast,Rheumatology,Acute Services,18,4,3,3,2,--,--,--,--,--,30,
31-Dec-2014,Belfast,Paediatrics,Acute Services,2,5,3,0,0,--,--,--,--,--,10,
31-Dec-2014,Belfast,Gynaecology,Acute Services,131,110,105,57,227,--,--,--,--,--,630,
31-Dec-2014,Belfast,Forensic Psychiatry,Mental Health,3,0,2,0,0,--,--,--,--,--,5,
31-Dec-2014,Belfast,Radiology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Dec-2014,Northern,General Surgery,Acute Services,110,93,77,37,90,--,--,--,--,--,407,
31-Dec-2014,Northern,Urology,Acute Services,26,62,60,15,0,--,--,--,--,--,163,
31-Dec-2014,Northern,ENT,Acute Services,109,118,44,7,4,--,--,--,--,--,282,
31-Dec-2014,Northern,Pain Management,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
31-Dec-2014,Northern,Gastroenterology,Acute Services,6,1,0,0,0,--,--,--,--,--,7,
31-Dec-2014,Northern,Gynaecology,Acute Services,110,100,50,33,42,--,--,--,--,--,335,
31-Dec-2014,Northern,GP Other,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Dec-2014,South Eastern,General Surgery,Acute Services,84,78,48,24,64,--,--,--,--,--,298,
31-Dec-2014,South Eastern,Urology,Acute Services,32,29,15,9,95,--,--,--,--,--,180,
31-Dec-2014,South Eastern,T & O Surgery,Acute Services,13,3,1,0,1,--,--,--,--,--,18,
31-Dec-2014,South Eastern,ENT,Acute Services,15,12,2,0,0,--,--,--,--,--,29,
31-Dec-2014,South Eastern,Ophthalmology,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
31-Dec-2014,South Eastern,Oral Surgery,Acute Services,15,12,16,5,12,--,--,--,--,--,60,
31-Dec-2014,South Eastern,Plastic Surgery,Acute Services,47,46,42,17,73,--,--,--,--,--,225,
31-Dec-2014,South Eastern,General Medicine,Acute Services,3,5,0,1,4,--,--,--,--,--,13,
31-Dec-2014,South Eastern,Gynaecology,Acute Services,63,107,86,54,84,--,--,--,--,--,394,
31-Dec-2014,Southern,General Surgery,Acute Services,135,75,85,36,49,--,--,--,--,--,380,
31-Dec-2014,Southern,Urology,Acute Services,68,74,52,34,226,--,--,--,--,--,454,
31-Dec-2014,Southern,T & O Surgery,Acute Services,58,110,116,29,199,--,--,--,--,--,512,
31-Dec-2014,Southern,ENT,Acute Services,50,42,4,0,0,--,--,--,--,--,96,
31-Dec-2014,Southern,Oral Surgery,Acute Services,1,8,0,0,0,--,--,--,--,--,9,
31-Dec-2014,Southern,Gynaecology,Acute Services,95,111,88,20,48,--,--,--,--,--,362,
31-Dec-2014,Western,General Surgery,Acute Services,83,104,119,45,131,--,--,--,--,--,482,
31-Dec-2014,Western,Urology,Acute Services,49,29,2,0,0,--,--,--,--,--,80,
31-Dec-2014,Western,T & O Surgery,Acute Services,182,226,203,127,402,--,--,--,--,--,"1,140",
31-Dec-2014,Western,ENT,Acute Services,109,112,171,36,119,--,--,--,--,--,547,
31-Dec-2014,Western,Ophthalmology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Dec-2014,Western,Oral Surgery,Acute Services,13,13,7,0,0,--,--,--,--,--,33,
31-Dec-2014,Western,General Medicine,Acute Services,3,2,0,0,0,--,--,--,--,--,5,
31-Dec-2014,Western,Cardiology,Acute Services,13,15,0,0,0,--,--,--,--,--,28,
31-Dec-2014,Western,Gynaecology,Acute Services,78,110,59,19,36,--,--,--,--,--,302,
31-Mar-2015,Belfast,Cardiac Surgery,Acute Services,67,101,105,49,62,--,--,--,--,--,384,
31-Mar-2015,Belfast,Cardiology,Acute Services,81,66,53,25,65,--,--,--,--,--,290,
31-Mar-2015,Belfast,Dermatology,Acute Services,2,3,0,1,0,--,--,--,--,--,6,
31-Mar-2015,Belfast,Endocrinology,Acute Services,9,0,0,0,0,--,--,--,--,--,9,
31-Mar-2015,Belfast,ENT,Acute Services,114,115,123,66,428,--,--,--,--,--,846,
31-Mar-2015,Belfast,Forensic Psychiatry,Mental Health,1,1,1,0,1,--,--,--,--,--,4,
31-Mar-2015,Belfast,Gastroenterology,Acute Services,21,8,2,0,0,--,--,--,--,--,31,
31-Mar-2015,Belfast,General Surgery,Acute Services,188,161,132,69,366,--,--,--,--,--,916,
31-Mar-2015,Belfast,Gynaecology,Acute Services,88,93,108,71,268,--,--,--,--,--,628,
31-Mar-2015,Belfast,Nephrology,Acute Services,11,3,1,0,0,--,--,--,--,--,15,
31-Mar-2015,Belfast,Neurology,Acute Services,36,29,12,2,0,--,--,--,--,--,79,
31-Mar-2015,Belfast,Neurosurgery,Acute Services,64,31,31,5,3,--,--,--,--,--,134,
31-Mar-2015,Belfast,Ophthalmology,Acute Services,49,33,38,14,22,--,--,--,--,--,156,
31-Mar-2015,Belfast,Oral Surgery,Acute Services,2,1,1,0,0,--,--,--,--,--,4,
31-Mar-2015,Belfast,Paediatric Surgery,Acute Services,7,19,15,10,24,--,--,--,--,--,75,
31-Mar-2015,Belfast,Paediatrics,Acute Services,2,4,3,3,2,--,--,--,--,--,14,
31-Mar-2015,Belfast,Pain Management,Acute Services,0,0,0,1,2,--,--,--,--,--,3,
31-Mar-2015,Belfast,Plastic Surgery,Acute Services,30,35,42,20,179,--,--,--,--,--,306,
31-Mar-2015,Belfast,Radiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
31-Mar-2015,Belfast,Rheumatology,Acute Services,8,8,4,0,8,--,--,--,--,--,28,
31-Mar-2015,Belfast,T & O Surgery,Acute Services,521,1428,1498,1079,3050,--,--,--,--,--,7576,
31-Mar-2015,Belfast,Thoracic Medicine,Acute Services,5,3,6,3,10,--,--,--,--,--,27,
31-Mar-2015,Belfast,Thoracic Surgery,Acute Services,39,17,9,3,18,--,--,--,--,--,86,
31-Mar-2015,Belfast,Urology,Acute Services,95,70,51,19,254,--,--,--,--,--,489,
31-Mar-2015,Northern,ENT,Acute Services,97,78,89,20,18,--,--,--,--,--,302,
31-Mar-2015,Northern,Gastroenterology,Acute Services,8,1,0,0,0,--,--,--,--,--,9,
31-Mar-2015,Northern,General Surgery,Acute Services,144,105,74,53,125,--,--,--,--,--,501,
31-Mar-2015,Northern,GP Other,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
31-Mar-2015,Northern,Gynaecology,Acute Services,99,96,78,31,57,--,--,--,--,--,361,
31-Mar-2015,Northern,Pain Management,Acute Services,0,1,0,0,1,--,--,--,--,--,2,
31-Mar-2015,Northern,Urology,Acute Services,9,3,2,0,0,--,--,--,--,--,14,
31-Mar-2015,South Eastern,ENT,Acute Services,6,10,4,1,1,--,--,--,--,--,22,
31-Mar-2015,South Eastern,General Medicine,Acute Services,1,0,3,3,5,--,--,--,--,--,12,
31-Mar-2015,South Eastern,General Surgery,Acute Services,97,84,53,37,99,--,--,--,--,--,370,
31-Mar-2015,South Eastern,Gynaecology,Acute Services,93,65,86,65,198,--,--,--,--,--,507,
31-Mar-2015,South Eastern,Ophthalmology,Acute Services,0,0,0,0,1,--,--,--,--,--,1,
31-Mar-2015,South Eastern,Oral Surgery,Acute Services,16,14,13,9,25,--,--,--,--,--,77,
